Mass,CC11Pre1_Oct,CC11Pre2_Jul,CC11Pre2_Oct,CC11Pre3_Jul,CC11Pre3_Oct,CC15Post_Oct,CC15Pre_Oct,CC20Post_Oct,CC20Pre_Oct,Coal11Post1_Jun,Coal11Post2_Jun,Coal11Post3_Jun,Coal11Pre1_Jun,Coal11Pre2_Jun,Coal11Pre3_Jun,Coal20Post1_Jun,Coal20Post2_Jun,Coal20Post3_Jun,Coal20Pre1_Jun,Coal20Pre2_Jun,Coal20Pre3_Jun,CC11Post_Oct,CC11Post1_Jul,CC11Post2_Jul,CC11Post3_Jul,CC11Pre1_Jul
695.198391387082,0,0,0,0,0,0,0,0,0,0,0,0,0,1509580.8,1877013.8,0,0,0,2093067.3,1652678.6,1466754.1,0,0,0,0,0
695.21126734782,0,0,0,0,0,0,0,0,0,0,0,0,0,1710541.8,0,0,0,0,0,0,0,0,0,0,0,0
695.21919220946,0,0,0,1932965.3,0,0,0,0,0,0,0,1466743.1,3736615.3,4121038.5,3143703.5,0,0,1794959.3,3782670.3,4684743.5,3819396,0,0,0,0,2120488.5
695.234129992986,0,0,0,0,0,0,0,0,0,0,0,0,1818408.6,0,0,0,0,0,0,1726920.4,0,0,0,0,0,0
695.23465898545,0,0,0,0,0,0,0,0,0,0,0,0,0,1824719.6,1463320.8,0,0,0,0,0,1528709.3,0,0,0,0,0
695.255483934676,0,0,0,1648818.3,0,0,0,0,0,1794364.3,0,0,4555818.5,3988945.3,4159514.5,0,0,0,3395091.3,4302793.5,3295623,0,0,0,0,0
695.256009409348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572864.6,1313146.1,0,0,0,0,0,0,0,0,1662250.6
695.270602758904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803210.3,0,0,0,0,0,0
695.283182735917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803210.9,0,0,0,0,0,0
695.291941284182,0,0,0,0,0,0,0,0,0,0,0,0,3599406.3,2741716.3,3437597.5,0,0,0,3575320.5,2667467.3,1917322.1,0,0,0,0,0
695.328631073877,0,0,0,0,0,0,0,0,0,0,0,0,1918001.9,1622999.4,1774624.5,0,0,0,0,0,0,0,0,0,0,0
695.741727223369,0,0,0,0,0,1345640.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695.92027574407,0,0,0,0,0,0,0,1549446.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3421952.8,0,0,0,0
695.959066794543,0,0,0,1645486.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695.960479120291,1589875.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696.185692478062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1877657.9,0,0,0,0,0,0,0
696.205210689275,0,0,0,0,0,0,1331037.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696.763664348611,0,0,0,0,0,79234992,11368059,0,7392578.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5140424,0,0,0
696.839454650201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332856,0,0,0,0,0,0,0,0,0
696.917155899774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200504.5,0,0,0,0
697.067902399036,0,0,0,0,0,0,0,0,0,0,0,0,0,1453673.5,2024881.8,0,0,0,1955612.3,3126308.8,0,0,0,0,0,0
697.068290067051,0,0,0,0,0,0,0,0,0,0,0,0,1733597.6,0,0,0,0,0,0,0,1499684.4,0,0,0,0,0
697.089118386374,0,0,0,0,0,0,0,0,0,0,0,0,0,1513579.3,0,0,0,0,1480991.5,1696805.8,0,0,0,0,0,0
697.104400026178,0,0,0,0,0,0,0,0,0,0,0,0,2506465.3,2519148.5,2642612.8,0,0,0,2830625.8,3158054.5,2058791.6,0,0,0,0,0
697.104930320683,0,0,0,0,0,0,1413004.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697.125348971088,0,0,0,0,0,0,0,0,0,0,0,0,2322659.3,1791086.4,2353334.5,0,0,0,1584932.9,2502183.5,1524521.5,0,0,0,0,0
697.126250658624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1741708.9
697.139099277971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520166.9,0,0,0,0,0,0,0
697.140836555311,0,0,0,0,0,0,0,0,0,0,0,0,2735332.8,2673775.8,0,0,0,0,0,2585128.3,2412586.8,0,0,0,0,0
697.141373087981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116024,0,0,0,0,0,0,0,0,0,0,0
697.162044708088,0,0,0,0,0,0,0,0,0,0,0,0,1982695,2063473.5,2250937.8,0,0,0,2988330.3,2526249.5,2535980.8,0,0,0,0,0
697.176457718828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1848622,0,0,0,0,0
697.176899211214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2298668.5,1884714.1,0,0,0,0,0,0
697.177364290326,0,0,0,0,0,0,0,0,0,0,0,0,2621672.5,2701426.8,2161339,0,0,0,0,0,0,0,0,0,0,0
697.198476007952,0,0,0,0,0,0,0,0,0,0,0,0,2320106.5,2297460.8,2423484.8,0,0,0,2903343.8,3100715.3,0,0,0,0,0,0
697.199145630525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1896752,0,0,0,0,0
697.213549271706,0,0,0,0,0,0,0,0,0,0,0,0,2660588,0,2101950,0,0,0,2404146,2419756,1943601.4,0,0,0,0,0
697.213960076964,0,0,0,0,0,0,0,0,0,0,0,0,0,2842742,0,0,0,0,0,0,0,0,0,0,0,0
697.22684982772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1445715,0,0,0,0,1586738.5,0,0,0,0,0
697.23466789101,0,0,0,0,0,0,0,0,0,0,1445591.4,0,2988270,0,2926271.8,0,1313654.5,0,2571061.3,3381293,2782003.3,0,0,0,0,0
697.235054293327,0,0,0,0,0,0,0,0,0,0,0,0,0,3134583.8,0,0,0,0,0,0,0,0,0,0,0,2018194.1
697.250091085439,0,0,0,0,0,0,0,0,0,0,0,0,2471663.8,2289273,2433217,0,0,0,2363191.5,2268205.8,0,0,0,0,0,0
697.25051343059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2327860.8,0,0,0,0,0
697.263308804959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528770.1,0,0,0,1795385.5,0,0,0,0,0,0,0
697.271192284182,0,0,0,0,0,0,0,0,0,0,0,0,2337521.8,2475643,2603714.8,1373268.9,0,1328551.4,2246458.8,2528302.8,2514486.5,0,0,0,0,0
697.285039296199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659447.8,0,0,0,0,0
697.286003928078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654972.9,1629487.6,0,0,0,0,0,0
697.286456713817,0,0,0,0,0,0,0,0,0,0,0,0,2519283.3,2154108.3,2219716,0,0,0,0,0,0,0,0,0,0,0
697.307740965713,0,0,0,0,0,0,0,0,0,1392616.9,1343966.6,1506711.3,0,2010750,1694405.9,0,0,0,0,1689136.8,1553977.8,0,0,0,0,0
697.343777867769,0,0,0,0,0,0,0,0,0,0,1436130.1,0,0,0,1583304.9,0,0,0,0,0,0,0,0,0,0,0
698.255282821047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572476.5,0
698.302409333414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1462163.5,0,0,0,0,0
698.338782184014,0,0,0,0,0,0,0,0,0,0,1324613.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698.739482888672,0,0,0,0,0,1451332.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698.767640725478,0,0,0,0,0,2671686.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698.823685408943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682500.6,0,0,0,0,0,0,0,0,0,0,0
698.82443281741,0,0,0,0,0,2956362.8,1977564.5,0,0,0,0,2024365.1,1816461.3,2227970.8,0,2070680.4,1906284.6,1982396.1,0,0,0,0,0,0,0,0
699.047785840782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771654.9,0,0,0,0,0,0
699.084073899253,0,0,0,0,0,0,0,0,0,0,0,0,0,2219290,2552154.5,0,0,0,2541136,3784840.5,2565851.3,0,0,0,0,0
699.100607681883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536082.5,0,0,0,0,0,0,0
699.105378179757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810268.3,0,0,0,0,2128521.8,0,0,0,0,0,0
699.120499720959,0,0,0,0,0,0,0,0,0,0,0,0,3086763,2939677.3,2731357.5,0,0,0,3281493.5,3575946.5,3130590.8,0,0,0,0,0
699.140814063771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627872.6,0,0,0,0,0
699.141427106767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1811544.9,1874059.5,0,0,0,0,0,0
